tract_id,mhi,year_usd
22051027601,50000,2012
22051027602,29000,2012
22051027701,27000,2012
22051027703,39000,2012
22051027803,25000,2012
22051027804,90000,2012
22051027805,66000,2012
22051027806,53000,2012
22051027807,71000,2012
22051027809,54000,2012
22051027810,67000,2012
22051027811,50000,2012
22051027812,54000,2012
22051027901,43000,2012
22051027902,46000,2012
22051028000,61000,2012
22051028100,26000,2012
22051028200,30000,2012
22053000100,52000,2012
22053000200,50000,2012
22053000300,41000,2012
22053000400,41000,2012
22053000500,50000,2012
22053000600,24000,2012
22053000700,35000,2012
22055000100,40000,2012
22055000200,24000,2012
22055000500,37000,2012
22055000602,43000,2012
22055000603,51000,2012
22055000604,38000,2012
22055000700,24000,2012
22055000800,15000,2012
22055000900,9000,2012
22055001001,44000,2012
22055001002,42000,2012
22055001003,55000,2012
22055001100,21000,2012
22055001200,39000,2012
22055001300,20000,2012
22055001401,80000,2012
22055001402,81000,2012
22055001403,68000,2012
22055001404,91000,2012
22055001405,54000,2012
22055001406,48000,2012
22055001407,75000,2012
22055001409,53000,2012
22055001410,85000,2012
22055001411,42000,2012
22055001500,47000,2012
22055001600,79000,2012
22055001700,61000,2012
22055001801,44000,2012
22055001802,47000,2012
22055001901,52000,2012
22055001902,52000,2012
22055001903,46000,2012
22055001904,59000,2012
22055001905,64000,2012
22055002001,36000,2012
22055002002,52000,2012
22055002101,47000,2012
22055002102,56000,2012
22055002103,32000,2012
22055002104,63000,2012
22055002200,35000,2012
22057020100,41000,2012
22057020202,94000,2012
22057020400,28000,2012
22057020500,41000,2012
22057020600,69000,2012
22057020702,45000,2012
22057020703,69000,2012
22057020704,56000,2012
22057020800,51000,2012
22057020900,32000,2012
22057021000,41000,2012
22057021100,52000,2012
22057021200,45000,2012
22057021300,39000,2012
22057021400,54000,2012
22057021500,45000,2012
22057021601,60000,2012
22057021602,73000,2012
22057021700,40000,2012
22057021800,44000,2012
22057021901,54000,2012
22057021902,53000,2012
22057022000,54000,2012
22059970100,37000,2012
22059970200,38000,2012
22059970300,61000,2012
22061960100,55000,2012
22061960200,44000,2012
22061960300,24000,2012
22061960400,46000,2012
22061960500,53000,2012
22061960600,33000,2012
22061960700,52000,2012
22061960800,21000,2012
22061960900,20000,2012
22061961000,24000,2012
22063040100,45000,2012
22063040201,51000,2012
22063040202,51000,2012
22063040301,63000,2012
22063040303,71000,2012
22063040304,70000,2012
22063040401,49000,2012
22063040402,62000,2012
22063040500,53000,2012
22063040600,49000,2012
22063040700,41000,2012
22063040802,47000,2012
22063040804,67000,2012
22063040805,62000,2012
22063040806,69000,2012
22063040901,45000,2012
22063040902,60000,2012
22065960100,29000,2012
22065960200,22000,2012
22065960300,20000,2012
22065960400,21000,2012
22065960500,27000,2012
22067950100,44000,2012
22067950200,41000,2012
22067950300,42000,2012
22067950400,20000,2012
22067950500,28000,2012
22067950600,29000,2012
22067950700,35000,2012
22067950800,18000,2012
22069000100,38000,2012
22069000200,35000,2012
22069000300,41000,2012
22069000400,24000,2012
22069000500,50000,2012
22069000600,25000,2012
22069000700,19000,2012
22069000800,47000,2012
22069000900,39000,2012
22071000100,57000,2012
22071000200,28000,2012
22071000300,23000,2012
22071000400,33000,2012
22071000601,19000,2012
22071000602,27000,2012
22071000603,32000,2012
22071000604,40000,2012
22071000605,38000,2012
22071000606,56000,2012
22071000607,59000,2012
22071000611,37000,2012
22071000612,138000,2012
22071000613,17000,2012
22071000615,31000,2012
22071000616,53000,2012
22071000617,36000,2012
22071000618,105000,2012
22071000701,22000,2012
22071000702,25000,2012
22071000800,38000,2012
22071000901,26000,2012
22071000902,40000,2012
22071000903,22000,2012
22071000904,19000,2012
22071001100,32000,2012
22071001200,41000,2012
22071001301,17000,2012
22071001302,18000,2012
22071001401,29000,2012
22071001402,22000,2012
22071001500,25000,2012
22071001701,26000,2012
22071001702,44000,2012
22071001720,34000,2012
22071001722,31000,2012
22071001723,32000,2012
22071001724,27000,2012
22071001725,26000,2012
22071001730,31000,2012
22071001734,59000,2012
22071001735,27000,2012
22071001736,31000,2012
22071001737,28000,2012
22071001739,39000,2012
22071001740,35000,2012
22071001741,41000,2012
22071001743,25000,2012
22071001744,23000,2012
22071001745,38000,2012
22071001746,35000,2012
22071001747,72000,2012
22071001748,41000,2012
22071001749,31000,2012
22071001750,20000,2012
22071001751,20000,2012
22071001800,54000,2012
22071001900,23000,2012
22071002000,10000,2012
22071002100,15000,2012
22071002200,28000,2012
22071002300,24000,2012
22071002401,45000,2012
22071002402,41000,2012
22071002501,39000,2012
22071002502,30000,2012
22071002503,54000,2012
22071002504,46000,2012
22071002600,45000,2012
22071002700,21000,2012
22071002800,26000,2012
22071002900,34000,2012
22071003000,18000,2012
22071003100,17000,2012
22071003301,53000,2012
22071003302,46000,2012
22071003303,27000,2012
22071003304,29000,2012
22071003307,43000,2012
22071003308,30000,2012
22071003400,22000,2012
22071003500,20000,2012
22071003600,20000,2012
22071003701,31000,2012
22071003702,31000,2012
22071003800,66000,2012
22071003900,27000,2012
22071004000,22000,2012
22071004100,47000,2012
22071004401,21000,2012
22071004500,30000,2012
22071004600,48000,2012
22071004800,10000,2012
22071004900,16000,2012
22071005000,26000,2012
22071005400,44000,2012
22071005500,63000,2012
22071005601,89000,2012
22071005602,71000,2012
22071005603,70000,2012
22071005604,69000,2012
22071006000,16000,2012
22071006300,18000,2012
22071006400,32000,2012
22071006500,32000,2012
22071006900,10000,2012
22071007000,14000,2012
22071007101,16000,2012
22071007200,21000,2012
22071007501,23000,2012
22071007502,24000,2012
22071007604,131000,2012
22071007605,25000,2012
22071007606,61000,2012
22071007700,59000,2012
22071007800,56000,2012
22071008200,38000,2012
22071008300,66000,2012
22071008400,19000,2012
22071008500,15000,2012
22071008600,17000,2012
22071008800,46000,2012
22071009000,76000,2012
22071009100,41000,2012
22071009200,18000,2012
22071009400,25000,2012
22071009600,39000,2012
22071009700,45000,2012
22071009900,46000,2012
22071010000,27000,2012
22071010100,58000,2012
22071010200,26000,2012
22071010300,30000,2012
22071010600,47000,2012
22071010700,65000,2012
22071010800,86000,2012
22071010900,50000,2012
22071011100,28000,2012
22071011200,69000,2012
22071011400,80000,2012
22071011500,79000,2012
22071011600,118000,2012
22071011700,122000,2012
22071011900,76000,2012
22071012000,108000,2012
22071012101,69000,2012
22071012102,35000,2012
22071012200,81000,2012
22071012300,51000,2012
22071012400,64000,2012
22071012500,37000,2012
22071012600,43000,2012
22071012700,43000,2012
22071012800,52000,2012
22071012900,39000,2012
22071013000,25000,2012
22071013100,21000,2012
22071013200,41000,2012
22071013301,94000,2012
22071013302,90000,2012
22071013400,46000,2012
22071013500,62000,2012
22071013600,33000,2012
22071013700,20000,2012
22071013800,28000,2012
22071013900,29000,2012
22071014000,10000,2012
22071014100,21000,2012
22071014200,35000,2012
22071014300,15000,2012
22071014400,47000,2012
22073000100,34000,2012
22073000200,65000,2012
22073000401,33000,2012
22073000402,31000,2012
22073000500,25000,2012
22073000600,19000,2012
22073000700,14000,2012
22073000900,21000,2012
22073001100,17000,2012
22073001400,21000,2012
22073001500,22000,2012
22073001700,52000,2012
22073005100,47000,2012
22073005201,80000,2012
22073005203,44000,2012
22073005204,75000,2012
22073005301,54000,2012
22073005302,44000,2012
22073005400,41000,2012
22073005500,24000,2012
22073005800,33000,2012
22073005900,31000,2012
22073010101,48000,2012
22073010102,41000,2012
22073010201,43000,2012
22073010202,78000,2012
22073010301,88000,2012
22073010302,46000,2012
22073010400,57000,2012
22073010502,52000,2012
22073010503,55000,2012
22073010504,43000,2012
22073010603,22000,2012
22073010604,45000,2012
22073010700,17000,2012
22073010800,13000,2012
22073010900,29000,2012
